type,timestamp
LOOKING_AWAY,2026-01-01 10:00:01
LOOKING_AWAY,2026-01-01 10:00:10
OBJECT,2026-01-01 10:01:20
MULTIPLE_PERSON,2026-01-01 10:02:30
LOOKING_AWAY,2026-01-01 10:03:00
OBJECT,2026-01-01 10:03:45
LOOKING_AWAY,2026-01-01 10:04:15
MULTIPLE_PERSON,2026-01-01 10:05:20
LOOKING_AWAY,2026-01-01 10:06:40
OBJECT,2026-01-01 10:07:10
LOOKING_AWAY,2026-01-01 10:08:00
MULTIPLE_PERSON,2026-01-01 10:09:00
LOOKING_AWAY,2026-01-01 10:10:00
OBJECT,2026-01-01 10:11:00
LOOKING_AWAY,2026-01-01 10:12:00
OBJECT,2026-01-01 10:13:00
MULTIPLE_PERSON,2026-01-01 10:14:00
LOOKING_AWAY,2026-01-01 10:15:00
OBJECT,2026-01-01 10:16:00
LOOKING_AWAY,2026-01-01 10:17:00
